,City,Country,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Butaritari,KI,1,76,3.07,172.79,301.4,6.36
1,San Cristobal,VE,40,58,7.77,-72.22,302.15,4.1
2,Kapaa,US,90,94,22.08,-159.32,294.15,4.6
3,Avarua,CK,100,83,-21.21,-159.78,300.15,8.2
4,Thompson,CA,5,54,55.74,-97.86,255.15,3.1
5,Bluff,NZ,6,96,-46.6,168.33,277.59,0.45
6,New Norfolk,AU,75,49,-42.78,147.06,293.15,4.6
7,Micheweni,TZ,100,74,-4.97,39.83,302.2,3.37
8,Arraial do Cabo,BR,75,83,-22.97,-42.03,299.15,2.1
9,Barrow,US,1,85,71.29,-156.79,261.15,4.6
10,Rikitea,PF,6,79,-23.12,-134.97,300.1,6.45
11,Jamestown,US,90,74,42.1,-79.24,279.15,6.2
12,Kaitangata,NZ,4,81,-46.28,169.85,280.8,4.2
13,Katsuura,JP,0,57,35.13,140.3,280.37,3.1
14,Corridonia,IT,100,87,43.25,13.51,283.71,0.5
15,Saskylakh,RU,7,80,71.92,114.08,242.1,3.35
16,Ghanzi,BW,67,54,-21.57,21.78,295.0,4.89
17,Sosnovo-Ozerskoye,RU,44,80,52.52,111.54,263.5,3.77
18,Xining,CN,41,53,36.62,101.77,272.2,1.1
19,Korla,CN,45,54,41.76,86.15,281.48,2.68
20,Albany,US,90,66,42.6,-73.97,282.59,2.63
21,Te Anau,NZ,4,70,-45.42,167.72,281.2,0.41
22,George Town,MY,20,88,5.41,100.34,300.15,1.76
23,Atbasar,KZ,15,94,51.8,68.33,266.1,4.91
24,Punta Arenas,CL,75,50,-53.15,-70.92,287.15,13.4
25,Kavaratti,IN,0,67,10.57,72.64,301.4,3.28
26,Caico,BR,100,75,-6.46,-37.1,300.1,3.55
27,Vieux-Habitants,GP,90,65,16.06,-61.77,300.15,1.0
28,Killybegs,IE,90,100,54.63,-8.45,279.15,5.1
29,Okhotsk,RU,0,77,59.38,143.3,253.8,2.6
30,Sao Filipe,CV,67,80,14.9,-24.5,292.6,10.44
31,Longyearbyen,SJ,20,75,78.22,15.64,245.15,2.1
32,Bengkulu,ID,88,93,-3.8,102.27,296.2,1.78
33,Khatanga,RU,78,84,71.97,102.5,246.3,4.02
34,Singaraja,ID,24,74,-8.11,115.09,301.5,3.06
35,Tuktoyaktuk,CA,90,84,69.45,-133.04,255.15,4.1
36,Hermanus,ZA,3,90,-34.42,19.23,291.48,1.93
37,Corrientes,AR,20,37,-27.48,-58.83,311.15,6.7
38,Ilulissat,GL,98,64,69.22,-51.1,255.0,4.11
39,Hithadhoo,MV,92,75,-0.6,73.08,302.4,5.55
40,Atuona,PF,2,74,-9.8,-139.03,301.2,4.31
41,Ushuaia,AR,75,47,-54.8,-68.3,287.15,2.1
42,Saint George,US,96,43,37.1,-113.58,287.15,4.6
43,Sisimiut,GL,100,72,66.94,-53.67,257.8,7.69
44,Qaanaaq,GL,96,60,77.48,-69.36,244.6,2.57
45,Ponta do Sol,PT,40,67,32.67,-17.1,288.15,7.7
46,Hobart,AU,75,49,-42.88,147.33,293.15,4.6
47,Kudahuvadhoo,MV,100,77,2.67,72.89,302.1,7.88
48,Provideniya,RU,100,96,64.38,-173.3,269.7,2.98
49,Bethel,US,75,81,41.37,-73.41,284.82,2.1
50,Halifax,CA,90,74,44.65,-63.57,274.26,7.2
51,Mataura,NZ,3,96,-46.19,168.86,277.59,0.45
52,Port Elizabeth,ZA,0,78,-33.92,25.57,293.7,3.2
53,Lebu,CL,0,58,-37.62,-73.65,292.1,4.24
54,Cap Malheureux,MU,40,94,-19.98,57.61,297.15,1.0
55,Botwood,CA,40,50,49.15,-55.35,272.59,10.8
56,Port Alfred,ZA,47,98,-33.59,26.89,292.59,3.13
57,Hilo,US,90,83,19.73,-155.09,297.15,6.2
58,Raudeberg,NO,75,75,61.99,5.14,278.15,8.7
59,Busselton,AU,68,97,-33.65,115.33,284.26,7.67
60,Airai,TL,0,82,-8.93,125.41,290.8,1.93
61,Neryungri,RU,99,97,56.67,124.65,261.1,0.84
62,Bireun,ID,100,72,5.2,96.7,292.0,1.33
63,Pevek,RU,100,91,69.7,170.31,268.3,6.49
64,Pacific Grove,US,75,62,36.62,-121.92,287.04,7.21
65,Gravdal,NO,75,73,68.12,13.5,276.15,3.1
66,Chokurdakh,RU,100,97,70.63,147.92,252.9,4.25
67,Yellowknife,CA,75,58,62.46,-114.35,252.59,2.6
68,Avera,US,75,100,33.19,-82.53,296.15,2.1
69,Banda Aceh,ID,34,79,5.56,95.32,296.5,1.44
70,Kinsale,IE,75,100,51.71,-8.53,283.15,10.8
